state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Connecticut,2020-04-20,973.6015100678857,1235.5933203342702,784.5422800944787,239444.13743128144,114.54889502951343,93.25081950035175,110.87655866922407,77.75121966512918,270.8583452485503,83.43589421002926,3602.6072405259565,15509.366736017295,1321.7747053993783,778.778086726242,1968.8788476638779,419.01091994912997,2211.491883488389,9249.872761723993,963.3376577255754,TRUE,0.9202174528359837,0.663674243205034,1.27006996443556,1.3282941089401448,1.2939915079495647,1.3631976433040731,73027.15860904612,770114.1559750596,73
Connecticut,2020-04-21,948.4299582288968,1210.0089842286416,757.7755669553641,242895.61864837178,113.31120053735825,94.03678693986166,111.48722020794753,78.42935270152336,269.49928836919287,81.73233745994855,3480.605045095954,15483.272393676421,1300.5642919256209,751.754529490727,1885.4037098276385,400.2269884253246,2164.456302902462,8898.160472829633,946.4793223581278,TRUE,0.9219949203938858,0.668098766997081,1.24219133895614,1.4319379582279126,1.3968463652924883,1.467612403689265,73970.77630262008,780187.5471404502,74
Connecticut,2020-04-22,919.7802225499859,1167.771585535162,737.456260436842,246625.75287876735,111.60656298753942,94.37496601167982,111.29931872218016,78.88720131237073,264.35192935144727,80.22980974426827,3458.7346080772586,15609.974110901216,1273.3957492191114,725.1716385912573,1795.7093670019594,380.40156930020953,2141.102700047852,8278.48788499527,930.6317692571474,TRUE,0.9271552049184195,0.660691208322128,1.23014864161149,1.3600825718593381,1.3269600702882514,1.393751727359931,74883.8330381537,789059.0883757403,75
Connecticut,2020-04-23,890.8887521798807,1137.1509670334185,711.4976759787618,250293.21252574975,109.47597597437831,94.27112645596469,111.31560109556318,78.52385413107413,257.07732662905283,78.56230332134449,3399.294697008927,14866.926248734104,1249.1953082651141,697.8389671437285,1731.4977321113374,364.4579936294188,2123.6536831202093,7784.285575209177,914.1072592382944,TRUE,0.9270966922115931,0.6413219181742,1.22711083965336,0.9435601444704974,0.9170297759352432,0.9705973430800208,75794.17535036532,797275.3230088222,76
Connecticut,2020-04-24,858.521484953574,1099.4465620975284,691.8084031799863,253723.3983755429,106.91629134403908,93.65853507918794,110.45083721377526,77.68622982966409,251.46783563418603,76.48255511066398,3301.1454757599577,14245.532925172265,1197.6821924178741,673.000442562156,1642.1158915579817,351.52017471864417,2080.6903590955417,7360.845634523469,899.5079042524254,TRUE,0.9222428972943162,0.628826598490085,1.2258169159903,0.9262942602940025,0.9006252088516751,0.952446477128249,76714.47096242371,805535.2422207191,77
Connecticut,2020-04-25,829.0267486658189,1068.090613812105,668.7530979411895,255778.8058451888,104.4496012536163,92.70248832808073,109.02189961369811,77.2222750024319,244.2232570118569,73.91849649380723,3237.055674786605,13466.061795786612,1138.186058134293,652.4276083402017,1563.2957519491906,340.3932310974203,2061.946818312297,7534.423737266012,868.7876694842535,TRUE,0.9080822832957297,0.601692731287801,1.23306226902434,0.5289663284815566,0.5096171230076669,0.5487992170271472,77573.33077109959,818529.5830475078,78
Connecticut,2020-04-26,800.1410520986876,1036.0032771425792,638.4005898874893,258762.5323911956,102.19040908558154,91.50881362600546,107.93128307876067,75.96489159679918,236.34887475753482,71.79427672801876,3151.5768152056585,13939.37470993743,1068.5998210381536,630.7955552983968,1506.569795893639,327.6141180741221,2033.2859555507703,7414.844171801258,844.9443458827473,TRUE,0.8965794775054191,0.600756302159824,1.22057848551749,0.6287984423061898,0.6073051627311753,0.6507929569367723,78372.74237480455,824565.4650750671,79
Connecticut,2020-04-27,771.3428669314573,996.1297164154937,612.0361559875153,261664.51567693232,99.87145067619826,89.70863694267035,106.10504298573498,74.77314845283121,230.01665733041898,70.22982310014672,3091.2982835935704,12730.29518457288,999.7932823394633,612.6521745279629,1460.008097614621,320.69261804192485,1995.1665793159736,7460.220979876152,831.7239375078781,TRUE,0.8788285882506073,0.580639644402956,1.22942681711465,0.6077155602335748,0.5856638793089967,0.6303139526401046,79180.93293333777,830576.8004506539,80
Connecticut,2020-04-28,746.8697634082819,965.265726620326,591.629662849266,264031.37594545656,97.27531942278272,87.88308497643851,104.09754444704129,73.04767160974917,224.63178187871534,67.57586996887427,2937.434864064152,12623.623165413512,946.7922626988617,594.6985026935095,1418.1374094936555,313.5390300109101,1920.1032392294806,7435.448225970669,811.3160456197478,TRUE,0.859551617182586,0.560438197984313,1.23223588995164,0.7282788419349177,0.7030171840317835,0.7541385313960629,80014.01008957067,838433.5627692555,81
Connecticut,2020-04-29,724.4869433785981,934.796347634104,570.0082959933159,266674.8222645486,94.8026187972371,85.88414276567394,101.52141376989002,71.23498919502984,219.76026400951127,66.02393904856358,2778.6583241580374,12227.938906934749,857.3405458164501,578.5628620868594,1389.8088842330721,306.60232839442506,1877.1027608294173,7294.725539574209,772.4564215692476,TRUE,0.8376612755278321,0.539672461426307,1.21247109979443,0.8895368134369755,0.8603738696375415,0.9193514311117061,80635.37054287025,845857.7951809013,82
