state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Louisiana,2020-05-29,329.7270749910284,447.9046339488412,238.16432884302736,318446.536012562,25.987649947790374,20.694979926813666,28.01369271617139,15.875124916494357,21.05491861356488,27.894163298630257,16.201775869587504,53.40134565694683,17.452253749161084,327.5722978345122,456.4199050340202,229.2802726338341,1905.3857233824283,10280.075011908812,326.9655945639581,325.0264947317713,692.3735973292672,174.93150501639826,1617.8305486555014,5068.42137416659,451.979435757205,TRUE,0.9809347748912138,0.418205979575998,1.9228881754121,1.0128137278558655,0.9675130654075244,1.0595068523286901,132144.19678746155,634654.0946177993,112
Louisiana,2020-05-30,327.91895489110493,446.6378972541717,238.48219983466348,321187.27187791094,25.729211349437918,20.481772738987242,27.78310210238911,15.608748286668707,20.74249506001933,27.849117757047452,15.930863152074078,53.15980610624318,17.268726577046394,325.35809318065026,461.4960416843944,225.10261921806062,1897.0726348531289,12244.916969900261,283.16013681403246,329.16276334992574,708.8048160162516,175.1128871064398,1626.5625045977065,5522.136732966466,421.3266461408614,TRUE,0.9777895515531319,0.418281554075725,1.94310193248784,1.0175964779453532,0.9718637732149465,1.0647418713463839,125469.75101950824,637339.3069357297,113
Louisiana,2020-05-31,327.0046630707226,447.3370069340148,237.62882632666071,323064.2252803021,25.58079323458347,20.279997789998603,27.43774318787498,15.354971606314534,20.4786051246277,27.686650276766088,15.782809140430992,52.908148595017124,17.07034998892258,326.7040214376984,472.0126340947113,219.96949468463552,1866.255672581135,13509.523517378298,250.91351567843242,332.1515224066307,715.1004002632956,173.9534754223079,1624.0512355829283,6051.513932990763,384.25075042660774,TRUE,0.9807515908679536,0.4090700286241,1.99189590587011,1.0734091214488015,1.026406004212949,1.1218257839149217,117965.16868853915,631126.431502468,114
Louisiana,2020-06-01,326.8712351384057,455.5954839410309,236.96213608326724,325778.48781849403,25.4739462069871,20.18103178715802,27.51685880363697,15.040603419991378,20.335391078289383,27.474483685181738,15.56270338854879,52.198964177134215,16.887602080023036,327.4352515309728,478.23690165014955,216.84100367813704,1885.9848288613662,14380.866581524677,210.98663271975482,331.83661829519076,722.9304898616164,172.0644140443154,1615.4640691666564,6652.697973718985,352.2379488576554,TRUE,0.9909009798435061,0.391066790821164,2.03825916615086,1.2796430636577267,1.2284038184642032,1.3322877560196293,118372.24790961843,631844.6909608137,115
Louisiana,2020-06-02,327.59599206452367,456.7208814877067,236.4030233742414,328364.8447460899,25.40126361259832,20.105100450578544,27.317866534455913,14.772750524311256,20.170596982708137,27.435381344788965,15.157175372378816,51.19263688033119,16.932843276190848,327.41444493504514,495.9741068901694,210.7397126887796,1869.6127820950305,15870.29171978618,186.42472877825915,333.5867852796477,735.0257506826218,170.03229790590188,1597.5438392271576,7576.209997344726,313.26550035347327,TRUE,0.9851237841038711,0.370841385328127,2.07104714814095,1.0631640537276967,1.017085539381797,1.1106137145552986,123360.43411534611,645417.4116588372,116
Louisiana,2020-06-03,327.34056320200557,463.11700006670236,229.91654641704167,331740.5644785684,25.351141686704622,19.99921529213019,27.58189377569105,14.505212912893573,20.124775933478663,27.49252637951955,14.97787278245104,51.565633620222286,16.772040293662485,328.11700921346016,511.71411030615036,204.63017730001923,1853.7750814853116,17687.229738648137,147.92945363170435,335.0392850560567,759.3432870481454,167.362208496778,1573.587275398443,8743.12063244283,276.52629198045753,TRUE,0.9766877226859836,0.352425993212845,2.088792893602,1.0683419910657668,1.0230178065867879,1.1149855312627657,119103.90757053813,648347.9718476168,117
Louisiana,2020-06-04,329.6937597323457,473.22523778919424,224.8857560077803,334691.46373868035,25.18785684326028,19.989601151870524,27.95428047140429,14.199110380276107,20.022467553232584,27.404876035110814,14.604346922254209,51.476467933866005,16.639532344353476,330.1956330569621,544.3765566637355,194.9746719823243,1846.1314594819414,20634.968019762495,119.24823333025232,334.0896166519856,792.4428706822988,160.57900840576332,1563.1333157560798,9752.48051144793,255.4376267920606,TRUE,0.9680792328543184,0.340568541247385,2.11791446900707,1.0857939888788335,1.0404977799554351,1.1323861118943752,119461.98914616142,666562.5028005616,118
Louisiana,2020-06-05,329.95869859315155,486.0013293940356,218.15282058259152,338194.56079192157,25.206777847657328,19.979227203897118,28.533220767700122,14.017200481999602,19.99121973830379,27.968392767804875,14.43697674837146,52.440030726555506,16.297925088918415,329.853289118624,595.8552917396894,183.6437173259443,1806.9791933173778,23865.226112196604,101.90743318419803,339.01801187288675,838.3800237079051,155.68397824818828,1564.7442423000323,10718.596580326699,220.0250900223934,TRUE,0.9679496310225816,0.334176520371325,2.14858267498401,1.0314850564413287,0.9876932898918953,1.0765525074915432,125538.17826044,684351.1062198256,119
Louisiana,2020-06-06,330.6795358692625,508.736463549957,217.26528097850291,339277.3047356119,25.155095201104544,20.018054641763666,29.284396495935955,13.640475677554056,20.000473150741165,28.347859775828255,14.155671399402168,53.08038790725411,15.824827768367154,333.58022262471127,648.5020360627466,176.03691563541958,1796.7785718413074,26034.874841904726,91.12351433238955,338.0362396804559,946.7899203597856,146.65216913526683,1577.8731325307028,11652.488874797273,187.36010995343977,TRUE,0.9710527896001404,0.312580909116576,2.24264938341681,0.9415515970063829,0.9000374641887127,0.9843230919872561,120241.38825386492,686859.1038713383,120
Louisiana,2020-06-07,331.9199813190825,536.7765488018529,209.064017742714,341969.05698581063,25.128599915808707,19.9927647762608,29.99703291538121,13.445858238535882,20.05529168489779,28.990819729511536,13.955593966308903,53.765793903169936,15.334542868680078,334.1693777802271,705.2980661370284,163.32976029783964,1754.0256729500609,30165.32358357066,75.40540585010739,338.7259816725899,1095.6264679509604,134.45431968040663,1566.6392566224513,13224.205074231124,159.22858740154732,TRUE,0.9795398889270124,0.303636321296985,2.38418091614977,1.0037396392351212,0.9609215233979851,1.047811232142281,129219.18172978364,705091.4392735261,121
