max_date,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
2020-05-20,2020-03-04,8.73265357905445,14.448438667216553,5.1615128418462355,11974.985021579541,0.22160955746331967,0.09912436264909374,0.2872655597794692,0.03215495194601915,0.7473008578330571,0.0786994563432143,3872.570949464751,22698.491459589586,1027.4061547121064,9.069430394941714,31.309774629039488,3.0398801295949602,416.89280536418676,2102.1340695700515,135.88123841533593,TRUE,4.331232029587595,3.49603003966868,5.42590213070773,NA,NA,NA,2089.410387886888,52217.17211023679,29
2020-05-20,2020-03-05,11.269284760372809,17.485959697395785,7.198731791636536,18054.08525412663,0.27806839233369607,0.12371496898349357,0.32344267496848667,0.04539382846151441,0.92557447050558,0.10519129827898725,5951.916916446229,34757.1053818124,1561.526098228635,12.082292495065992,43.67352329409279,4.08578037826245,623.0043893464442,3177.46792549159,198.02587326248678,TRUE,4.393414595944332,3.5189005475808,5.42480030438556,NA,NA,NA,3932.1768181827665,81111.61716706908,30
2020-05-20,2020-03-06,14.684546353148255,21.769881019414555,9.917934523234322,27163.491102075583,0.35608289347166255,0.15376399008146957,0.3709395308030602,0.06256425196072528,1.1784622958207829,0.14073009015347285,8973.464950213463,50266.9570172397,2463.78172603131,16.45740955759441,63.33322759485905,5.605194818448254,936.8611000382091,4708.28099712884,297.45030100667697,TRUE,4.371096445573301,3.46000241720271,5.48699680645031,NA,NA,NA,4493.863316669107,120728.5800829556,31
2020-05-20,2020-03-07,18.969053175970426,27.75914372209848,13.074262038184196,41111.67663838041,0.46060933460115894,0.19397461766108892,0.41400364708289117,0.08608581915131525,1.4946994258367907,0.19008925577075375,13705.55397947571,75193.40043922409,3998.05389071683,22.56740449779718,89.63390717986508,7.88048049573475,1451.678370002608,6979.978553771974,453.1327349987482,TRUE,4.25080387717675,3.30913628421522,5.4771358447781,4.565347440874437,3.8422547345844063,5.373946341528956,6586.451501135427,181387.26038248703,32
2020-05-20,2020-03-08,24.584170981673246,36.427289845600896,17.319711291786323,61051.02916450912,0.6121877862054573,0.24721063976892124,0.49524124789439056,0.12242939865469393,2.0014118511175,0.25948356517404936,19955.339860502998,102056.03519394835,5934.288127463873,31.805930368058966,130.94327252845792,11.085889216009189,2217.163554582189,10514.882927880562,680.0840211703559,TRUE,4.057074802707949,3.08895113778271,5.29110665324529,3.094751554272911,2.6280860888552193,3.613649862087283,12093.685456345316,266303.17631928326,33
2020-05-20,2020-03-09,32.94520374232185,48.761565753497536,23.296928949156708,88156.679336234,0.8205597879740897,0.32095300015737105,0.5851768478000028,0.1707072988268235,2.8259412846658436,0.365565521503011,28505.67534788623,142253.91584582656,8549.389900384991,45.50464126764234,184.8571321779325,15.474246688499981,3375.5485606063517,15852.27306905075,1028.7707746359326,TRUE,3.8004405441484486,2.75265250849034,4.97642970372313,2.6014217579717918,2.24316832116452,2.995934778058368,15910.31165163,371028.0815311769,34
2020-05-20,2020-03-10,45.59215404213825,68.4259156372627,32.12703396119069,129046.34916129266,1.1084711025013405,0.41993606543738093,0.7179496844010951,0.24116643987982195,4.0388292088535716,0.4998380062037138,39222.14360144502,190801.68587414952,12089.419108445909,65.59253457363377,272.5206231516101,22.311186578418518,5010.814489761308,22809.57590550425,1565.4529733003837,TRUE,3.4729227246287184,2.42890470441538,4.55651330109523,1.515148789984672,1.2784092534423317,1.779459589650589,21799.195136824754,518260.3771984662,35
2020-05-20,2020-03-11,65.37619855139806,100.62527157983926,45.55054664267752,181008.08707354087,1.5255601210567056,0.5586894906636428,0.9281091600954051,0.3411507079568309,5.742790345201266,0.6870286571173717,51498.935598200595,242022.60729415697,16887.6388174257,96.8757067773967,399.6799475660474,33.13647151147128,7242.160500527461,31544.72694168061,2338.81074066455,TRUE,3.133243319362987,2.11609257847438,4.17474009163433,2.8092340092526573,2.5111036156081195,3.130078542589053,32264.412483118693,706482.3790638992,36
2020-05-20,2020-03-12,97.11832046541153,150.24962579381474,67.34380899906566,245746.1077523207,2.156039887997718,0.7632887729948349,1.242556774945927,0.4781312604893391,8.397488388870032,0.9680533640877097,65846.96661803797,287492.8386696864,22006.279445087515,142.78825761725236,594.1090976629357,48.35838871226882,10434.218078873539,42533.30115763811,3453.7724047481533,TRUE,2.773477886402127,1.81970495234663,3.77610590983337,2.864806785235277,2.587298286818787,3.1614843822020333,45577.30162942743,937072.0541780362,37
2020-05-20,2020-03-13,146.06890096576555,223.6307289588949,100.96075840549835,324533.3843940997,3.105953748080661,1.053321169961233,1.677226746778755,0.6868625473931596,12.325777612560122,1.3376952165448432,77728.3652082259,348597.3870191579,27274.988089461247,212.06990081620862,889.5584144582558,71.44152721555108,14505.475144210937,56553.80271145557,4880.581426734536,TRUE,2.4425559568356627,1.54078753871348,3.31996065689754,3.1823975202385575,2.9253139430435247,3.4541200692245493,67667.85561276869,1189464.9872139145,38
