state,date,cases.fitted,cum.incidence,deaths,deaths.fitted,infections,severe,symptomatic,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,index,infections.lo,infections.hi,cases.fitted.lo,cases.fitted.hi,deaths.fitted.lo,deaths.fitted.hi,cum.incidence.lo,cum.incidence.hi,symptomatic.lo,symptomatic.hi,severe.lo,severe.hi,deaths.lo,deaths.hi
New York,2020-03-06,13.58805054587948,13605.648462145771,0.3162847033954168,0.19633484092792292,4358.471000701185,13.359091522671694,693.6059389017773,TRUE,4.349685071513673,3.55518212144784,5.29137974824512,NA,NA,NA,31,1147.5880380586145,11869.928518364713,8.35858591720406,18.759448288142494,0.05431838008324852,0.4208799479912207,4616.931093917306,37130.839560384215,245.60394502900868,1888.723768536628,4.745851227972373,28.102545132643883,0.09368650936894392,0.7061570912247438
New York,2020-03-07,17.89070022394546,20520.858414678994,0.38959871432960275,0.23829743863349065,6855.375224119359,17.403102591517474,1022.3887229635955,TRUE,4.4399749550349075,3.60062438350297,5.32875938252633,4.565347440874437,3.8422547345844063,5.373946341528956,32,1746.9608660612632,18435.976531802065,11.606890718826719,24.64292765733961,0.08647996931422341,0.47827808336432215,7072.6651567596855,54880.73372871388,348.7634023791008,2850.3303700265637,7.221081607140631,37.95481437688531,0.1262935986504571,0.8149316455745327
New York,2020-03-08,24.059568096027775,31262.692565093857,0.4844809985728023,0.29593831558712014,10446.364560423237,23.171063153850397,1558.79626564022,TRUE,4.445776951693327,3.62598969833241,5.36107920173388,3.094751554272911,2.6280860888552193,3.613649862087283,33,2963.0189935809276,28213.59575002447,15.636421880087646,33.15224324534011,0.1270227413008333,0.5354071730627282,8380.153366316848,81838.24165802528,523.1618486841934,4190.063840218625,9.78653370687135,52.045490524962844,0.17673664386555904,0.9890973857489475
New York,2020-03-09,33.05016752837348,47104.43102786843,0.5979885383886162,0.371087517651862,16181.357858930729,31.5374477472103,2369.3423548664073,TRUE,4.334724347329347,3.54150983178963,5.27112790853195,2.6014217579717918,2.24316832116452,2.995934778058368,34,5624.088359148722,43093.384558931124,22.64059935178621,47.329177617773794,0.18663181574737706,0.6240136702086431,12870.811089524308,124931.6262169564,798.1707252589803,6284.043596867806,13.131319882388468,72.42606394603567,0.23803550726722156,1.2364321892053791
New York,2020-03-10,46.09263934938548,71229.95535679991,0.7614285531300559,0.4731201315719854,23873.391894253917,43.837637192468875,3646.2615234440964,TRUE,4.133100750718496,3.28596102411329,5.09990339920429,1.515148789984672,1.2784092534423317,1.779459589650589,35,7386.005090687833,62839.04492416008,31.56800602278737,67.00658051769797,0.2524645952760913,0.7369410146414377,24743.352635609896,190187.0618985529,1070.6869970837581,9443.195165881627,18.403797888052768,102.74738903826619,0.3130357954832458,1.574463278285375
New York,2020-03-11,65.82198990148801,105506.26695615888,0.990532801344696,0.6124885697506389,34314.7039138992,61.933461460332126,5560.556875858068,TRUE,3.8477001250036467,2.95374904924657,4.81514717321269,2.8092340092526573,2.5111036156081195,3.130078542589053,36,11360.132340883034,89053.64416662653,46.06990876604169,96.83039925895558,0.36293812026924904,0.910331882295508,28510.534974826263,272631.46625266224,1530.4895228559938,14385.219573614682,26.243606577439575,145.62203479164748,0.4498867787562491,2.111876071183852
New York,2020-03-12,95.97844260389348,152018.33654390153,1.3249611068944664,0.8076145132865926,46998.33696541204,89.14749952983009,8407.83281366772,TRUE,3.5076522052210803,2.57774613853468,4.38440386301464,2.864806785235277,2.587298286818787,3.1614843822020333,37,16771.51908319182,114158.9514448379,64.46836582261062,139.188737089539,0.5271212317630154,1.1828382700611149,49282.64688849846,393656.48342833034,2493.2939287211584,22283.611364115022,38.54693849821694,210.76543062718824,0.672985844965039,2.948401356078351
New York,2020-03-13,141.04682768820436,214571.1519932869,1.823679566390017,1.0885513166697809,61755.15383032711,131.28562297125578,12264.317955704439,TRUE,3.1240326568212087,2.32834278101708,3.92732869123748,3.1823975202385575,2.9253139430435247,3.4541200692245493,38,23606.287573516598,145619.86636788747,94.54354618045089,207.60660745465572,0.7443908100382165,1.5756196718223072,73942.98716437697,544373.3397786091,4006.626299121372,32784.83628584052,56.64824699761112,320.20550272870406,0.898119533926347,4.070130186003759
New York,2020-03-14,212.0321777129882,289107.6889862012,2.5354558055029908,1.501641515953522,76827.82428301046,196.01614312615004,17803.547430954073,TRUE,2.7466822094410883,2.01259649765502,3.44121076126469,3.1537788993156086,2.931198612483485,3.3873519083668433,39,29891.084648416596,175978.4783429814,138.75637994838024,308.2411537739452,0.9907371450055796,2.0939864780038437,108097.5531468781,720081.518901397,6167.776440889223,46813.586957695035,84.02912199751624,480.1627007746819,1.3115248604807452,5.812446031965518
New York,2020-03-15,318.4035244024109,380923.87398741115,3.621227629379126,2.093812916133995,89340.85822349579,289.62554368825124,24634.577470566986,TRUE,2.3846266235587477,1.76740257260204,2.9615086449121,4.698269214223806,4.4633229791873825,4.941319343962572,40,34437.27197992465,194387.29781214718,222.97917328815055,469.45699559353227,1.3743020620218465,2.850583956311128,148634.74227712426,892155.1608243367,9682.355625396423,62875.72889857277,123.88654171625053,711.0167369645892,1.692048874281695,8.111783804399431
New York,2020-03-16,472.8583617276955,479993.9821621248,5.221692306051652,2.997310188749341,99242.56439668182,431.96053908543206,33034.96865921185,TRUE,2.0585506333532213,1.51641652269004,2.54060269221283,4.307971852952512,4.1201386277489975,4.501428975382052,41,39821.434273869294,216079.78847218264,329.02533260972456,678.573670014957,2.0436078821336268,4.121714160200362,185363.46600811888,1102525.7831310974,13100.350359971852,79796.9834790541,185.81216774203537,1048.855761110121,2.4987646343725345,11.900147352617275
New York,2020-03-17,696.209980014711,585134.728591058,7.622414017894512,4.363320514562067,103764.33253862947,639.3957398302346,42311.336195084565,TRUE,1.7627873313770641,1.30107513879837,2.20558730222662,5.17885356616296,5.012174171272185,5.349187926427415,42,42128.07415329371,228010.67623745036,485.3591145986868,967.315127211194,2.9341450490043828,5.8963672795527655,224305.3710075445,1344481.30833951,16824.971327494124,99290.98905082939,260.327189516188,1503.2099358246114,3.7302922731825063,17.736021610182515
New York,2020-03-18,1002.3690082854008,686359.7016896161,11.13989580030197,6.389200985795389,104665.60141304457,928.9916160637194,51766.71202938289,TRUE,1.5092586235606809,1.11393544455255,1.91115075617839,5.871423189470524,5.728456899046306,6.016748622993916,43,40965.872065111194,233803.76636914574,715.144300472287,1359.6164258172498,4.3197360641955616,8.572963916220232,276185.0745659553,1557513.9509447585,20894.196877097907,114285.41220743328,432.0034608485285,2204.383025376188,4.934736195634942,25.532816023195938
New York,2020-03-19,1409.482619364459,789875.1077110665,16.365063634165576,9.338209970003977,100177.30145031995,1317.5239372288356,60858.65844068288,TRUE,1.3023292251286887,0.930429549655817,1.64310057311299,5.247441362922702,5.1421128029433945,5.354198532602992,44,39153.64107017971,226455.7191928843,1031.193803060673,1889.639830336417,6.4297129846404255,12.46963136404602,324413.3525688677,1780550.732518334,24777.215560476427,130472.55580519677,621.698256266898,3038.5067580501973,7.77266062906163,37.4343508050754
New York,2020-03-20,1929.8738153623183,883387.370364784,23.836728275469394,13.575673876398508,94413.25241335414,1841.1778832333875,68135.73910641117,TRUE,1.121489878683505,0.804884156016762,1.44042183351745,4.54564085910947,4.469304447267988,4.622841588291037,45,37265.35709750562,210372.59646906934,1449.821184797443,2541.818014710169,9.535060187414436,18.083626318121045,397171.6769711508,2014867.045786664,27877.928888503102,145867.59395216737,914.8339699319573,4122.508337410597,11.732162047640896,53.688191284256504
New York,2020-03-21,2555.0299087645235,970028.4439128537,34.15144923657489,19.735696638848395,85907.63462383498,2500.2328173278515,73586.14720016919,TRUE,0.9789306673278975,0.700339817774832,1.27814186821477,3.9755275923294553,3.9185056793713997,4.0331000277683335,46,31575.280632625185,187494.27415511437,1940.042570029521,3297.650508946805,14.053386515003087,25.805257760226255,390230.04237574426,2148951.150369044,29664.49447138362,156591.1665277872,1252.4192510172077,5460.24436868197,14.392119651474896,73.79954835154987
