max_date,date,cases.fitted,cum.incidence,deaths,deaths.fitted,infections,severe,symptomatic,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,index,infections.lo,infections.hi,cases.fitted.lo,cases.fitted.hi,deaths.fitted.lo,deaths.fitted.hi,cum.incidence.lo,cum.incidence.hi,symptomatic.lo,symptomatic.hi,severe.lo,severe.hi,deaths.lo,deaths.hi
2020-04-30,2020-03-16,473.56006871783325,652436.5037360184,5.196251586479088,2.9421143181437652,132825.85607517618,570.9906025085683,44827.73793608778,TRUE,2.0807545216298613,1.50936545011827,2.59669768021737,4.307971852952512,4.1201386277489975,4.501428975382052,41,58429.611265173735,329883.0952579503,312.21021251168725,756.8833108267029,2.214020117577072,4.142947212276864,238226.48645806639,1536195.986093601,17586.413548281358,107143.25098584055,231.28943124006753,1435.9394138555015,2.6162823701534843,12.572797129186691
2020-04-30,2020-03-17,698.7937683498444,783068.3537683081,7.6919194885377475,4.352692763519718,140114.32973551573,846.2522838595296,57119.13112307166,TRUE,1.7785907770670573,1.29396359008133,2.2643150039141,5.17885356616296,5.012174171272185,5.349187926427415,42,51017.802343170435,332677.17476540385,445.1448144394012,1071.5677556340834,3.180572943476742,5.841836715003579,280220.96813357255,1850338.3923455402,23202.729225895364,136829.2046732879,347.9767336095419,2076.1587974393997,3.988395027270588,18.41360264782802
2020-04-30,2020-03-18,1007.1219028137784,920111.373226505,11.33927856671706,6.454062939926641,141069.3911454705,1243.327666926247,70070.41926644092,TRUE,1.5223470333539046,1.09001958656389,1.93382312686936,5.871423189470524,5.728456899046306,6.016748622993916,43,44249.508407077396,323239.9265109744,686.4559759419723,1542.7126354925747,4.7761216717956225,8.442992017819085,329774.12861145067,2173849.6820678096,28205.107609384624,165223.75972373362,595.563428980793,3042.8503340513935,5.104086814877581,26.592940772972497
2020-04-30,2020-03-19,1422.5907755807248,1061310.8427025317,16.640333812007867,9.58909458283065,137065.63306900498,1775.1554556883734,81614.44516498983,TRUE,1.308496634309979,0.929975898676372,1.65355764927914,5.247441362922702,5.1421128029433945,5.354198532602992,44,50789.65581102678,313591.4231663163,958.7514904315813,2085.6831417502303,7.402984190644135,12.449374302987563,429847.17856408394,2500736.935977284,36244.514944630966,196877.74064463086,858.7757871571565,4281.627553444378,8.20093288825002,39.25394465558625
2020-04-30,2020-03-20,1959.6582639834464,1186408.44660992,24.254073134760098,14.136356532408008,127179.25119134216,2497.9244475379264,92503.44323724307,TRUE,1.1321220702650558,0.818722068840623,1.42435743445528,4.54564085910947,4.469304447267988,4.622841588291037,45,46380.06030239128,283196.27637875435,1321.2998621796298,2796.356119549958,10.996178308143845,17.99181850465284,392466.1242261137,2689845.269267891,35419.31968183993,214364.0241363685,1203.2568349417625,5885.40311014495,12.381788535553975,56.63781081733599
2020-04-30,2020-03-21,2621.9094294724227,1304018.9241913958,35.19004314543612,20.61172410886972,114621.37558987681,3432.5241219309974,100546.51755774427,TRUE,0.9839293694259792,0.694652492455011,1.256783567827,3.9755275923294553,3.9185056793713997,4.0331000277683335,46,52220.49757140892,264535.88575209596,1905.7819223654233,3797.9065807077873,16.422481283414985,25.917951025723756,600409.1875529854,3119252.8899957705,38177.85454959695,227089.86712839603,1573.6362350635045,7852.309877453843,18.201263096056,80.0753273461453
2020-04-30,2020-03-22,3399.8410290493575,1399264.555705646,50.10675967782528,29.802862122402352,102403.11762430143,4558.638257909785,103811.180674982,TRUE,0.8595647184360019,0.610102186579785,1.12438617019371,3.091089034769136,3.0499678859286887,3.132578143615458,47,44931.21129227438,237184.62921770243,2288.326703138476,4685.92737588606,23.963711478271776,36.39106913560523,658804.2550967636,3323979.3196627684,40036.99070595018,235281.24974100295,2110.9719234309237,10317.952581422962,25.772013729405778,111.74692519886746
2020-04-30,2020-03-23,4281.620695627657,1483888.500399181,69.91453893509589,42.394537805567694,87676.86585107386,5852.122108180802,104707.0214999479,TRUE,0.7597202711490124,0.546388414235089,1.02154082388825,2.416879105464629,2.3862457085969546,2.447773558011189,48,37914.38896268245,205052.2264836551,3155.493877494184,6053.8391989596885,34.01906353261451,50.5399384124336,713774.2815070244,3536609.9820026914,42313.2281349154,235636.71649132893,2668.957142162451,12981.095396254264,35.76114919959509,155.234911329273
2020-04-30,2020-03-24,5234.7753970760805,1562589.6526985953,95.46740918511301,58.943447782460765,75309.4383448051,7320.132346248427,101916.5005633827,TRUE,0.6835826472319395,0.493556427899219,0.935999582439019,2.0998260624101244,2.0748340224418196,2.1250179927183632,49,31456.587604980254,173764.42113427157,3789.9974329761435,7356.452659761702,46.95809340893686,69.12573261981389,716323.3165858311,3636733.821868239,43552.48369280253,229545.67370845692,3350.815410481077,15932.881006539083,53.11303139136553,211.9300431134318
2020-04-30,2020-03-25,6216.514149239189,1629593.1005364365,128.15325290813155,80.47694615479742,66062.09850290188,8835.217795988496,97001.89264150806,TRUE,0.6293753727260956,0.452140913155506,0.881620842728286,1.8672072687191466,1.8459693039533525,1.888607508139241,50,25165.958440079517,148904.47884529617,4591.369578084711,8940.47653268429,63.75429722696115,93.48972129596804,771560.658964006,3785422.3918161797,39986.81778872617,213505.04818369757,3775.221755331799,18650.53988374405,72.93961512718359,277.8464801755872
2020-04-30,2020-03-26,7184.966717126696,1684244.1228417712,167.8746853338058,106.96122759380708,57610.833314149655,10440.995525506467,89654.16468082955,TRUE,0.5895133268285079,0.423933794907534,0.840770600634081,1.6772134475126192,1.6587434053319994,1.6958200923441966,51,22241.549576567926,130460.67993377078,5251.738783025205,10484.312319077439,84.41379983595674,124.3776567805406,806927.9768387001,3917338.15791009,35133.97789970723,193638.26422739914,4263.15152079643,21547.434513377215,98.00732555006499,356.717191345581
2020-04-30,2020-03-27,8120.080124635138,1734635.536959705,215.42284203636873,139.33347346525056,50647.53007524117,12104.725287278394,81531.37159499645,TRUE,0.5614598899513612,0.390500568866279,0.819679590831228,1.5661119461034156,1.5494871554098129,1.582855227773623,52,20223.26829040464,116203.81936580442,5855.943596595767,11918.442012834135,106.72133240444472,158.28995416890695,800422.4125168016,4007356.2185874837,32271.074063577827,178845.9856412443,5395.318456034289,24931.1791411215,127.30239551971053,455.43603969897237
2020-04-30,2020-03-28,8969.97230763685,1775353.924553296,269.377363020264,177.5616819301859,45262.27557524468,13539.428142268449,72603.94211622131,TRUE,0.5444420175656056,0.376672973359315,0.787612455711271,1.4673163279615973,1.452145291452786,1.4825926628902497,53,14634.14698840342,101678.88817811603,6546.609402319491,13651.143508108218,137.2161368287413,203.99800071391857,746134.6354409134,3993779.6644853014,29167.122269164636,158714.9565862177,6634.763839436756,28241.66688356549,167.02158901518098,564.3628045400267
2020-04-30,2020-03-29,9722.547793878382,1811366.6159851577,329.3083894185777,221.4287689813455,40922.31114611392,14855.601892484883,64516.658647213626,TRUE,0.5386622373956877,0.35812807216902,0.790241114684709,1.4327863260160603,1.4185289382647466,1.447138927625182,54,16313.153022709374,96882.1410939092,6991.363560217619,14810.470717109049,170.68289420914354,252.38299947998354,771928.7962446009,4069106.1223702584,24227.155705198922,140893.58705814762,7150.568504991032,30435.18762860836,199.24815130216734,675.0111873297708
