state,.progress,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Virgin Islands,TRUE,2020-05-17,2.051289544587576,11.106116499853865,0.49529461149028875,2132.12358664965,0.13728274380077599,0.1114923984700469,0.44683106329395816,0.0351795242208829,0.7953366977226217,0.03201416869609229,11.871063388904808,324.7425921414246,0.29908297569077635,1.3928142802402481,10.195585352964233,0.209995652804481,7.239935599757369,114.2361776734189,0.2924038306268264,TRUE,1.0801453173261473,0.01390894835958497,2.7588877027224914,1.1850996969573484,0.043286804608464284,6.30701537247981,370.8961682968593,6915.274872280626,91
Virgin Islands,TRUE,2020-05-18,2.033099112673524,12.517123177753955,0.44862838096963087,2146.3831335749587,0.13588036393357614,0.11190306719905058,0.45471599797056117,0.03372994904571523,0.8022089932061655,0.030174775233915967,11.451147854280407,339.2454672548031,0.2774296328329328,1.3962363259040058,10.915601158357763,0.2141103922300162,6.9739265909278085,122.42492530616153,0.24912652844240152,TRUE,1.089099900655097,0.012348468448250285,2.9585496174339467,1.4862220408276798,0.054285562009063766,7.9095668343216605,371.48807980991114,7200.176969877187,92
Virgin Islands,TRUE,2020-05-19,2.025292947552641,13.020643094238702,0.3981574694869738,2149.9292882791647,0.13729493699281314,0.11125101265590562,0.46979261358421576,0.032448054913919694,0.8520986277509746,0.028918912145636487,11.877813188896774,404.8573726287483,0.23842130719108776,1.4134451397635708,12.060039617248433,0.20172537146635766,7.156914941492179,129.6694389442973,0.22458690940237014,TRUE,1.099131342091697,0.012207673783668375,2.985571138741366,1.8098734457776489,0.06610721310162031,9.632016339274667,372.01247976501696,7219.2662317189215,93
Virgin Islands,TRUE,2020-05-20,2.005743145306494,13.520582449129282,0.3535064106947431,2187.75895420187,0.13776086217848454,0.10904983164749557,0.4886536832978381,0.03154008841635201,0.890351562454337,0.027591997942411538,12.444483101178598,497.4143705542365,0.19817666171492146,1.369790422091207,12.407576920737242,0.178911440621553,7.199126944678476,140.84557068314075,0.20381332618993422,TRUE,1.1126807250598447,0.01414146875150002,3.34558151179042,2.133225031969629,0.07791791305139255,11.352870230356158,372.4984581043673,7619.082593998703,94
Virgin Islands,TRUE,2020-05-21,1.9857204497495475,13.999680957041054,0.3014192526478273,2207.0314039330665,0.13491940845520223,0.11120333119316506,0.5152555418026084,0.03080225414210692,0.9242821348759339,0.026354164964967713,12.762968388481411,581.5285108317337,0.1639928751606487,1.3788914020807845,12.755889002853849,0.1599648992606204,7.246209751618528,153.72623289713695,0.1823645274316088,TRUE,1.128456702401905,0.009679814989039323,3.9867326242990577,2.4332275616896997,0.08887576825916843,12.949462121810685,372.9673197742531,8372.40609226203,95
Virgin Islands,TRUE,2020-05-22,2.010933706367472,14.559832386588539,0.27985713494896614,2229.393641836533,0.13621662452715522,0.11129645389680849,0.5182189093426701,0.03000043284696985,0.9466591185721575,0.025740108652282982,12.759864782022055,694.0619866235019,0.13697229188200621,1.312212193055604,13.488931710299843,0.14915834767039374,7.0291679339749855,169.70851478168692,0.16871269750100293,TRUE,1.154449291892842,0.00997839578583749,5.917723852475936,2.6927773140301756,0.0983560503355057,14.33076724081252,373.4245692021772,8395.218831933431,96
Virgin Islands,TRUE,2020-05-23,2.0464243311881862,15.836103614013872,0.2554272379820938,2248.463108234876,0.13331718756052452,0.11043875884418317,0.52023333787066794,0.028225617366133063,1.0013080862716548,0.024850324750722512,12.760739314529063,787.7109404611952,0.116737331076079,1.2829655902927941,14.240669914460938,0.128756948911011,6.959287733638789,190.77588008171,0.15710815148217278,TRUE,1.189488285776947,0.013495950552221903,7.560842198495289,NA,NA,NA,373.85989504196704,8810.054218955713,97
Virgin Islands,TRUE,2020-05-24,2.0464859492983765,17.14477143226681,0.23354545740314026,2299.0996550674627,0.13320767911911424,0.11212993246637412,0.5460058407868702,0.027395434022213134,1.060165007205256,0.023467560010573416,12.102330505997958,942.9558140081028,0.1002153591667806,1.274901696631059,15.00081119902389,0.11141545287826322,6.864140189012209,219.1182106722576,0.1331471867270308,TRUE,1.2238809860425286,0.011950455486636319,9.340823909939356,NA,NA,NA,374.2622391419893,8946.424011143125,98
Virgin Islands,TRUE,2020-05-25,2.0463949885183013,18.780846858451113,0.21585007043641033,2329.1307940375773,0.13198544738382573,0.11289017128916107,0.605369820150961,0.026325955042338603,1.085405261669694,0.022461703357836486,11.794828909200717,1160.0799048971169,0.08317035895479016,1.2654548707679267,15.568731972832374,0.09548960988983536,6.891466288191202,262.0822993743087,0.11134492089069813,TRUE,NA,NA,NA,NA,NA,NA,374.59386679509987,9363.76099533002,99
Virgin Islands,TRUE,2020-05-26,2.090309540445368,20.543166191700237,0.20107868181474428,2344.226915102752,0.13143426348223353,0.11098007572416246,0.6656253714198284,0.02504831844004155,1.150250435451007,0.02125101065950007,11.4422532005517,1331.5254590983614,0.06958539853436568,1.2305534519326502,16.381279193889952,0.08386667600134884,6.719086993214541,310.3238922442057,0.09572556995466514,TRUE,NA,NA,NA,NA,NA,NA,461.08719637564775,10378.3830249266,100
