state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence.est,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,infections.est,infections.est.hi,infections.est.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.est.lo,cum.incidence.est.hi,index
Idaho,2020-03-23,18.894794272253414,28.00865767029065,13.757557657650914,8498.362309081003,0.27414918866233834,0.5682266262507135,0.11424171329347613,497.84257372394694,1690.487526275807,187.95601579552357,TRUE,0.867596325922318,0.5298557045169552,1.2850745787664368,4.080804238973547,3.4576305196130654,4.774718104971825,3066.0495166425335,21461.163738874628,39
Idaho,2020-03-24,23.161567257196356,33.25658707361336,17.254420374177776,8873.892059694477,0.33057474732780245,0.6747712795544276,0.14634441809898047,443.6376742071519,1493.8510802274395,165.31961119158814,TRUE,0.7872186082255149,0.5036209330967216,1.135475005591186,3.588730577639571,3.09451042311257,4.132971792707083,3261.249303928359,22738.189621909067,40
Idaho,2020-03-25,28.065295858795736,39.126360988726496,20.971230941628605,9288.386108482759,0.4030850764510113,0.8013901413339988,0.18587257058854062,404.1061317951603,1420.9753103528528,148.67128013774288,TRUE,0.7259281671216932,0.4891460958082159,1.035025535128465,2.852089822572184,2.4849702940867258,3.2537058204907137,3416.085842897517,23786.603217484633,41
Idaho,2020-03-26,33.43094323807584,44.781403751258225,25.119462310615596,9616.927357047101,0.49750114316636185,0.9590649998864444,0.2350354787954116,357.4537330966251,1354.6780570203132,126.24522279687709,TRUE,0.6792526440597118,0.46049858024471996,0.9567237113827414,2.3419096512486974,2.056686854875837,2.652360355114226,3562.366671088101,24563.400689184895,42
Idaho,2020-03-27,39.15648958522931,51.464642754901064,29.79109386758206,10009.459112483855,0.605386706924125,1.128915893800352,0.2983501347973876,332.3042906205198,1238.3558094567748,115.66528688023433,TRUE,0.6453954038727644,0.4492139849747392,0.9041127121760973,2.249819561930475,2.001835020618179,2.5174864744864993,3843.6456980670982,25541.581245086054,43
Idaho,2020-03-28,45.13515275696567,58.408063871364234,34.23505658650049,10324.1319710198,0.738886831790215,1.3127414832304063,0.373950702945002,299.11000130665815,1046.7757610281951,106.29314010081737,TRUE,0.6226562891340659,0.43689442730157774,0.8361071326214994,2.099835890919434,1.8834661219565776,2.3321755365660173,3791.9561994801625,26120.129839747053,44
Idaho,2020-03-29,51.2388149099229,65.99880513210132,38.328240421304805,10601.983685173826,0.8951858771754597,1.5128126889953708,0.4671394398403644,272.9789595195158,966.8082965888042,96.63980553179553,TRUE,0.6123622755075189,0.4343724103017626,0.8136483807140298,2.2580633321437698,2.0535327833462502,2.475744605343618,4291.951570993543,27312.311135068478,45
Idaho,2020-03-30,56.8536031241948,74.1602180202032,42.18383475195735,10847.033645567066,1.0666625425897909,1.7170788382091857,0.5702845786506148,241.11006984266947,919.6193301439655,90.31343301426864,TRUE,0.6130574693195318,0.41187460923433633,0.8391650509711661,2.6795813537150868,2.475865725338114,2.894176877506829,3975.1974466224883,27360.145148629235,46
Idaho,2020-03-31,62.392399687109744,80.88577184187473,45.97501532895442,11116.16907273349,1.2489952326579823,1.972595153962677,0.691927858604267,223.87609740665357,873.168919027722,87.97226833127772,TRUE,0.6231856508006304,0.4143735674772664,0.8861402204094629,2.39722852057984,2.224447922492514,2.578732904895795,4066.791017444097,27662.313635446462,47
Idaho,2020-04-01,67.46338325567375,87.55801574140497,49.823192026137946,11351.338156771773,1.4341400673176463,2.1938519008001505,0.8252775370839323,210.12845148174256,832.5116224772386,86.02927400838607,TRUE,0.6413360292620474,0.415819799072371,0.9275115242426406,1.7761636914573955,1.6443460918788386,1.9148448251638774,4160.861266407141,28062.845676551315,48
Idaho,2020-04-02,71.07418527381466,92.28933795761425,53.19657159670459,11629.846078504597,1.6368393145880025,2.437363548867874,0.9817484344784574,190.74328330061292,872.8735255083525,79.47820673902442,TRUE,0.6662220563996495,0.4212653270347873,1.0243989604362933,1.2766546728062835,1.1752769476728036,1.3837013373129292,4253.389779998099,28411.414557486627,49
Idaho,2020-04-03,74.13075950103226,95.65920091847653,55.91810232598577,11856.362618284315,1.8452438726821385,2.6645160108232777,1.1422443246399958,178.86406009130812,926.486093971807,73.66033963078414,TRUE,0.6958912580919844,0.41833244735736,1.103762744205226,0.9892495161861132,0.9051947818482914,1.0783536076504963,4344.617593110796,28720.891802764665,50
Idaho,2020-04-04,75.7755067245118,99.38966897453992,58.00090767684593,12020.020582796173,2.0607506714738495,2.8938371591285588,1.3150549232450581,171.16750617845247,844.7520445196462,71.12076431224742,TRUE,0.7282251933439223,0.44837793864301523,1.1470718423939994,0.6008440941288159,0.5373681233013946,0.6691326238223878,4439.894066604049,29022.179889732,51
Idaho,2020-04-05,76.2652317616215,101.15390873687747,59.06374650472669,12171.448811028335,2.2605772162349442,3.109515118611709,1.4833492331651654,166.48120780533515,793.8355464729634,72.02405919221862,TRUE,0.7643030429177455,0.4956740280264589,1.1884169452378632,0.41876300158500146,0.36580578164040517,0.47660082144739646,4532.211717832998,29309.146032841403,52
Idaho,2020-04-06,75.77113743220043,100.72510112970804,59.413743805545465,12319.931202813535,2.4708346001240087,3.3629226048214655,1.675226555614311,163.49210894452895,719.2979758283052,72.6704071181928,TRUE,0.8028695029997658,0.5382040831779253,1.2433918626525908,0.5739884885669414,0.5089898930554276,0.6442989051135257,4620.294998475319,29600.011871042712,53
Idaho,2020-04-07,74.49259764426893,99.09931958199078,58.72182434499558,12474.711123003455,2.635672147588427,3.530768033831267,1.810203726282785,161.35458198598462,670.7861445655035,71.53342797621919,TRUE,0.8428147151614596,0.5781397149365216,1.2778211614306567,0.6914628623553252,0.6156194955939824,0.7732940737293142,4704.849800892148,29984.149499687534,54
