state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Michigan,2020-02-20,1.446154063955965,9.612075209078615,0.23499696062531905,431.4116774237867,0.019592904842331702,0.014736647225898052,0.15276628177704193,0.0011956163032037668,0.0012307844339362207,0.04797008935039268,4.6276584581717664e-5,0.20235536100481666,0.0015443770854608036,1.9449485002081168,10.66907021022472,0.3328310859402639,85.29547222159518,578.0536044576404,13.965942655097589,0.9781874689474014,7.696802987958559,0.09640748112174227,23.506558665586454,146.30654776528797,3.740537061773245,FALSE,2.774362016952181,1.56815755282592,4.48710763431712,NA,NA,NA,20.026511896472,2070.8215293235316,19
Michigan,2020-02-21,1.8079151107080527,10.8089027623672,0.2996678157614914,558.7068875810229,0.025003000062304347,0.01900024103500724,0.1832159305157074,0.0016523110434404447,0.0018298821865439922,0.06169066075707389,7.865050266632397e-5,0.24667434019301965,0.0020743035554195064,2.404267558845862,12.563600257414869,0.45122366720359885,114.23302476912488,745.4244983372722,18.92230785594745,1.183329486428708,8.58104190581382,0.1324479176079941,29.864165179172083,181.98598424355927,4.886803685734933,FALSE,2.8782299194012135,1.66099067105838,4.56999697240518,NA,NA,NA,22.97331876628413,2645.2715336022243,20
Michigan,2020-02-22,2.2378193832934485,12.1302046504989,0.43675725962756395,719.114689868959,0.031423799628088965,0.023921853634247335,0.22276516079948225,0.0022823931896931117,0.0026342371662122625,0.07680422903249673,1.2620931800062958e-4,0.28616021512101464,0.0027800742403659606,3.0335806693817426,14.381099369616543,0.6416453917415936,156.0234996033294,954.3108115480447,25.17208723692677,1.4171761988672231,9.423195439352796,0.18295155913911093,38.48419182270118,241.60899333142487,6.15578490413856,FALSE,2.9780237380529053,1.75482244291365,4.54256468125499,NA,NA,NA,35.29906983573771,3364.2037777446185,21
Michigan,2020-02-23,2.824803855826217,13.886559625442104,0.6149708235712159,936.3284190205054,0.03987269748687816,0.03021179881018492,0.25785197962033307,0.003195474282344667,0.003709143832037013,0.09324865215384401,2.0024407365503818e-4,0.338664476315356,0.0038698079797073537,3.80854693195458,16.869361470482353,0.8798541354530436,205.641840434826,1281.3914166212858,37.18529015726753,1.7358424409771995,10.98353290595725,0.24731419454607692,50.529040415103,326.72060312661154,8.154606946821993,FALSE,3.0981264751083426,1.82898509560466,4.6755477404859,NA,NA,NA,55.35023308889528,4334.36960411925,22
Michigan,2020-02-24,3.595447137933208,15.873826803228098,0.8942490162093918,1241.09271485517,0.05011464918583948,0.03744646918446336,0.2920837177155632,0.00433412579793375,0.00505664671210658,0.11395496003241973,3.1152519795465104e-4,0.3874262963784584,0.005307604503455575,4.7919162288163,19.230124792257538,1.2331210412310005,287.959964163339,1697.3246480703206,51.91847613882099,2.086031760942875,13.30119977274626,0.32635267919058475,67.2087528825625,428.67474744175155,10.90855412002061,FALSE,3.2278735081245626,1.94613948218136,4.77898822090589,NA,NA,NA,87.82982197214798,5528.784499202091,23
Michigan,2020-02-25,4.5327925773787,18.482735766887906,1.1640060599287247,1629.9130422558774,0.06272946884813799,0.04725539563741751,0.3261334351828965,0.005721646544707382,0.006792463985681718,0.1362067294318326,4.8000383515800255e-4,0.4329761949506314,0.007354761086851017,6.155714954185506,22.138438523488666,1.70566625527402,401.65856927116454,2325.775011774138,74.42588430888921,2.5397106056976724,15.97752679033567,0.4428801101662263,90.0595644574496,542.4192804137762,14.747734008534454,FALSE,3.3166657600299425,2.00695459808143,4.76973488372222,NA,NA,NA,125.88023857143332,7156.638914012667,24
Michigan,2020-02-26,5.744771337710862,21.156534713407133,1.5830254965682276,2198.2333099134908,0.07828309519974885,0.05878204934837861,0.36913574472638266,0.007665434196156624,0.008874588109558988,0.1575948529449096,7.076987984759204e-4,0.4850054436275931,0.010015635346346061,7.947154844378447,26.245703996287368,2.325630354598741,557.7147198868519,3199.6818916792104,106.79500243159708,3.1628277288302478,18.966442525361522,0.548538671158989,120.80903105335499,708.386083568909,21.073173120758682,FALSE,3.388056953691312,2.11872086295781,4.77393807178071,NA,NA,NA,186.72152264992218,9969.037478251801,25
Michigan,2020-02-27,7.483504970764162,25.709718434251382,2.1992961752657187,2979.8303111326322,0.09670938652209946,0.07226945992456846,0.4252105135073372,0.010732592736304076,0.011379173834434656,0.1854543325289278,0.0010170922487233894,0.5717655697819966,0.01357862688327054,10.381095735145339,33.17700738524856,3.204350603047592,776.7038484474296,4698.142321775869,140.9978211159564,3.9335564444871927,22.761659723583584,0.6810069551584821,162.15259436704093,947.6773105445479,29.310480852508086,FALSE,3.4331104093021336,2.16999857542702,4.74984734571781,NA,NA,NA,245.7519627059597,13642.638470233302,26
Michigan,2020-02-28,9.722256452791008,31.392553091077616,3.1598822569919007,4067.2026524400553,0.11997723222631584,0.08915418334438241,0.48982077923867895,0.014775598734896835,0.014297670808517859,0.21584559162130657,0.001440728527912701,0.6551462668006038,0.01881334016183745,13.506687679928092,42.39041575644625,4.524275208823465,1087.094195589571,6729.476537220407,195.7231473622477,4.9667248593475755,27.610207531745893,0.9098559783757041,222.89814353403474,1290.5506593437551,41.46164198958499,FALSE,3.44274832760831,2.22616163174024,4.6917940497491,NA,NA,NA,417.0747266749987,18539.49686540246,27
Michigan,2020-02-29,12.85241993971562,40.769048465551464,4.34876766214816,5691.683944276262,0.14871864969043552,0.11090890052765626,0.5388002189830154,0.02055554469095006,0.018644469699027295,0.24859835133926536,0.0020589619975609234,0.745973467585526,0.024634971786189133,18.214068432961632,52.62523083472889,6.466067806881167,1523.107937417874,9168.508109958246,279.65478148532685,6.33298833942022,34.13535577945644,1.233302671217459,308.89607814987704,1827.8055754427273,59.6512197100295,FALSE,3.36215334446106,2.31762110380476,4.59777065088025,NA,NA,NA,621.8776053030717,25719.070890649753,28
