state,setup,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.diagnosed,deaths.diagnosed.hi,deaths.diagnosed.lo,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,diagnoses,diagnoses.hi,diagnoses.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi
Kansas,alpha,2020-02-07,5.1416377501847454e-12,1.2468240165293975e-8,4.1002456011989204e-17,0.9752795686458231,1.467983650151564e-11,1.1120505006998265e-11,1.0180245199404295e-10,7.656813356389583e-13,2.582404069709018e-12,3.931927824869247e-11,4.644942819941315e-14,1.556391299236935e-10,9.737203122891988e-13,2.9186644536928837e-7,1.413224826783419e-4,7.728531397832923e-9,0.9752795686458231,11.00533027000522,0.06582062152156871,2.9381301805587787e-8,3.4463707533357033e-7,2.0129675465692105e-9,0.0016164637111628084,0.01871970483066935,1.0753126557720163e-4,FALSE,NA,NA,NA,NA,NA,NA,0.014158375866654378,8.128992282987722
Kansas,alpha,2020-02-08,3.4295399061468725e-10,4.435945243514809e-7,3.481019116516079e-14,2.0828674918477645,6.43922067419888e-10,4.859692477207188e-10,4.427083096057914e-9,3.3629958920417205e-11,1.1537772945934475e-10,1.720040946214487e-9,2.232411270229493e-12,6.766845144660999e-9,4.281705024094779e-11,1.030157722584373e-5,0.0029522416502196286,3.011576687963711e-7,1.1076970681264349,11.487165039027085,0.08362593513085194,1.192412605205746e-6,1.3886864101615662e-5,8.177408040832747e-8,0.027807032524319496,0.3211371039435028,0.0019051803524869275,FALSE,NA,NA,NA,NA,NA,NA,0.03332335824768512,16.362076775866157
Kansas,alpha,2020-02-09,8.300916161581374e-9,6.1316056442399225e-6,2.2823676332857187e-12,3.3446795165193786,1.0600435021991264e-8,8.007933673495115e-9,7.201552451954601e-8,5.566093732717601e-10,1.9978323953352145e-9,2.8418327303195233e-8,4.4482602967534306e-11,1.1009927952187788e-7,7.10077417424241e-10,1.2442894954981516e-4,0.019757553533228542,4.180123704587925e-6,1.3028429981729825,11.967132038656276,0.10786414158478844,1.7193352035238054e-5,1.979633924267147e-4,1.1832861530097382e-6,0.1122585182606271,1.2719986140429773,0.008098397814592524,FALSE,NA,NA,NA,NA,NA,NA,0.057285036722182506,24.50382953920019
Kansas,alpha,2020-02-10,1.0306120240100757e-7,4.5569270968595764e-5,6.242012323926414e-11,4.874594497498316,8.982531377675469e-8,6.765210489737305e-8,5.996142502384278e-7,4.767227918862958e-9,1.8117444920298692e-8,2.455563943298059e-7,4.983639942919057e-10,9.199093543137501e-7,6.101051530900062e-9,7.280517013018887e-4,0.06474070266359777,2.7824164221962428e-5,1.4933436391585082,13.192085045145305,0.13378384063865306,1.1614263952559401e-4,0.0013339809706045414,8.191874398535589e-6,0.25801290713271535,2.7713618921610474,0.018923601037840448,FALSE,3.424114458459725,1.99053809142321,10.4251544260916,NA,NA,NA,0.08756809236794044,34.21838638691511
Kansas,alpha,2020-02-11,7.538357633684879e-7,2.1788156890845714e-4,9.674174898864818e-10,6.714397155482658,4.924556007717207e-7,3.6845506518888194e-7,3.2369363978470788e-6,2.636678125127713e-8,1.0767528097306788e-7,1.3726983732194911e-6,3.288106535425798e-9,4.93453870892216e-6,3.349189493841198e-8,0.0027428097944713634,0.15209491915874135,1.120524564770291e-4,1.7098677482982136,13.832045731994574,0.16735288888013855,4.950917529368193e-4,0.005587080294763194,3.558401378699916e-5,0.43873986755936184,4.487866558783624,0.03486375156786118,FALSE,2.7056256638669267,1.44334290572789,10.4251544260916,NA,NA,NA,0.12548755733519196,43.372667771546965
Kansas,alpha,2020-02-12,4.21009509262366e-6,7.605426167758211e-4,1.0098746855410505e-8,8.733689862931353,1.970758330928228e-6,1.4746630256945108e-6,1.2790705389540511e-5,1.065037739287315e-7,4.6185279001055824e-7,5.530365146140646e-6,1.7112222145439444e-8,1.932266185273931e-5,1.3459888771949815e-7,0.007357611321572807,0.2514470336993392,3.306646809669184e-4,2.0181225694096416,14.511825451659586,0.1917972154190174,0.0015580023933625463,0.017039859013420037,1.1609870643316474e-4,0.6435528363567944,6.297280581571626,0.05174739345556387,FALSE,2.3290699613596875,1.15285685720225,8.3917349500833,NA,NA,NA,0.1723456713051904,52.545017056820356
Kansas,alpha,2020-02-13,1.689921405294677e-5,0.00211808907317234,7.61409114046417e-8,11.011155526624737,6.2941113730114765e-6,4.696497843649371e-6,3.956885362827765e-5,3.397712421464131e-7,1.5807864949313556e-6,1.7815108736463143e-5,6.860090163859158e-8,5.9828700058454955e-5,4.397224243721661e-7,0.015394078728097532,0.36065601200970976,7.90173474452268e-4,2.3923426383515887,16.862588888898987,0.22970701729379678,0.0038279173486429757,0.041003776851372756,2.9422068732060157e-4,0.85466017996897925,8.052608386138155,0.073904343482441,FALSE,2.201366600893544,1.0284100667628,10.4251544260916,NA,NA,NA,0.2341911198638366,64.29800963474212
Kansas,alpha,2020-02-14,5.595811657803125e-5,0.004768600448301625,4.2570391133622264e-7,14.220594442980623,1.656928770786869e-5,1.2453508972252793e-5,1.0129507317743367e-4,9.016962189415652e-7,4.571245445493635e-6,4.756169277656693e-5,2.263894730894742e-7,1.5545239672658994e-4,1.1915197420378257e-6,0.028510245049196047,0.5197134440227396,0.0015779347828528568,2.702184129103027,18.327536929868913,0.29160394830545944,0.008031677238958757,0.08424543483865582,6.178454796390725e-4,1.0599399501227564,9.3571721074557,0.09749607913075578,FALSE,2.1035782644433705,0.983678813828426,8.3917349500833,NA,NA,NA,0.31745667046852677,78.37025649033885
Kansas,alpha,2020-02-15,1.5220819736863208e-4,0.00943204957610886,1.4843594162058168e-6,17.448773900976544,3.8325523283243807e-5,2.8738550261046667e-5,2.2367446906349636e-4,2.1188258717752176e-6,1.1422773759249652e-5,1.0835168978951342e-4,5.988302695400537e-7,3.514297060885317e-4,2.7648577376597513e-6,0.047517239776146,0.7064448173013216,0.002739601624101892,3.157146226551606,19.87271664799586,0.36320973345417157,0.014627194401196763,0.1523654141931593,0.001154236853740045,1.2791294785514495,10.493636152307937,0.12587949193263542,FALSE,2.066472751462289,0.994317014820868,7.95751309829018,NA,NA,NA,0.4305724117745273,94.88107581707699
Kansas,alpha,2020-02-16,3.7695741735973355e-4,0.017410572831755032,4.985312659531158e-6,21.62705085651809,7.878858482323871e-5,5.899073753343794e-5,4.375698906949987e-4,4.483295716699294e-6,2.477249040582083e-5,2.2569982782246004e-4,1.361048206795177e-6,7.094536512291306e-4,5.7258602947786095e-6,0.07312037706722829,0.9025459042851516,0.004450669127076144,3.744168877443779,22.873587645608424,0.4307433257785952,0.024666398843230616,0.2477769097685612,0.002018674334927228,1.499780355063904,11.281749452301655,0.15462468712373414,FALSE,2.0638895400042774,0.994718359464722,7.47758368315046,NA,NA,NA,0.5924331009097217,109.91365689064855
