state,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Iowa,2020-03-14,3.1764041504694855,4.904845225159998,2.064384334514305,2406.0495022749565,0.09454232938218134,0.04396604117415101,0.08209596648765394,0.019972049254722953,0.33537698217517525,0.04064630715782944,380.8949740351777,1564.161106130268,131.7568487724711,5.1627975275592135,23.40376093208804,1.1392504597184434,105.7650677968081,431.18408343010736,36.444887166861804,TRUE,1.8441288847370776,1.26990056538815,2.6284075062283,0.8880767072236222,0.4404590654312722,1.5692485089599175,515.5707959791772,8639.146011412457,37
Iowa,2020-03-15,3.8753648327297823,5.963575264883648,2.5349361800141184,2853.992559880976,0.11242048859762144,0.05191224376224944,0.09512621029526849,0.025204121516204034,0.4123984275894869,0.04715194473498148,415.09261500119436,1686.3533654781215,144.89932586503267,6.439926141050241,28.82786635060306,1.4197922193030372,126.11015018545777,490.4068230195701,44.54503658105983,TRUE,1.7203079378418216,1.19817433074458,2.39178509231324,0.8717384694253574,0.4323557958680885,1.5403785306174909,650.9221314713024,10102.358422187244,38
Iowa,2020-03-16,4.759025171120788,7.184224398659204,3.2028147720525393,3286.404174411421,0.13528338074826993,0.06111046222671585,0.11300571280783919,0.0305789438445549,0.5004089815222421,0.05647763703238408,437.33266728032265,1774.1400028847056,155.62080797957117,7.984718536825121,35.43695493506765,1.7537540249314698,148.60710598405458,567.222751604941,54.41213482995375,TRUE,1.594319156701069,1.1118544825587,2.25283361507049,1.260502858374657,0.7058618744343598,2.0501348151545797,871.5767491899771,11770.213703611098,39
Iowa,2020-03-17,5.851998827677648,8.77005499862836,4.050514410288715,3791.7580131786435,0.1642446728511274,0.07257615958233163,0.1344773466119497,0.037129115245178076,0.6101127623290317,0.06842079218266303,463.2963603780353,1873.0958124466001,171.33705328976515,9.96434899928181,43.77769854018776,2.1925599586391478,168.92993359134886,661.4711531825556,64.24513290356023,TRUE,1.4896573569002123,1.03948392029597,2.10469018482632,2.020596781781274,1.2857245736289347,2.993533876097801,931.8701478392242,13054.90731521711,40
Iowa,2020-03-18,7.2638448204103145,10.693902930557579,5.127286576732496,4279.8705813767465,0.2006128612474552,0.08739737471534526,0.16064963127610732,0.04449949433926517,0.7470000758212151,0.0816112856015963,487.6279365850843,2013.0786481754421,182.19041197810148,12.337895001508468,50.924959009592456,2.789147989961972,190.32198532949417,736.8064215841132,75.19643335052129,TRUE,1.403052486856226,0.981100029928753,1.97412605412912,2.392224415426348,1.6087261909415869,3.396604247722426,1252.0803308959053,14723.306543084025,41
Iowa,2020-03-19,9.016170851865837,13.028801716816634,6.513115005006495,4779.912503105248,0.2447735293350154,0.10613028767854407,0.19339011200991116,0.05431862812848963,0.8918606897208743,0.09825806233775991,504.6459867029406,2075.9789058852202,181.51410529359816,15.169992379202418,60.08026606973185,3.464584673151953,212.83595421271934,794.2672452211008,86.31848373574596,TRUE,1.3271169922760206,0.932990559130681,1.86116462557176,3.3799536516112547,2.5011791306825852,4.44393868911575,1270.640213366987,15922.816046664631,42
Iowa,2020-03-20,11.17744662993757,15.753206601626637,8.102810489427696,5318.040581859745,0.3019157073992066,0.1282510647467699,0.2344290999044503,0.06705511831638031,1.1007816480374708,0.1209651462717378,520.1394137467194,2065.9316431239463,189.68714227083234,18.334007893554706,70.58847239192397,4.292503348375068,230.46290494028358,836.6929079437837,95.90038299382292,TRUE,1.26566510684539,0.914812075990637,1.753531085511,3.79035574250263,2.9578460878984063,4.766172431593912,1464.0902111246933,17300.976597584893,43
Iowa,2020-03-21,13.769523903840557,19.0852988242101,10.264285569747663,5893.46218118322,0.3714698640101879,0.15678103356254433,0.28350952313730005,0.08312588731567697,1.3417063196444912,0.14649974435569085,528.3306533475384,2210.879247227781,188.2708679299256,21.772861907620005,83.15805372113793,5.400305475417525,246.84594980376573,915.0496414142619,103.46927540044337,TRUE,1.2227538818466885,0.90092740984655,1.65912752985813,3.0528265687694076,2.419709821705493,3.7878282719464353,1600.0002623943162,18628.162477916405,44
Iowa,2020-03-22,16.90779063085393,23.07144166561246,12.69705280235182,6412.703211540083,0.4589015280547727,0.1926429911601354,0.34124873224493424,0.10288708076834431,1.5676914601886922,0.18575346220185734,545.5279590993689,2212.1780214113433,189.1446012322316,25.841274965692975,95.24209723750738,6.781229720038521,257.58428401882486,980.9020005252123,113.07913527937524,TRUE,1.1827231537658056,0.883420542680142,1.59451812834187,2.4737186777928457,1.988962587524202,3.031514295262517,1814.6933071434973,20464.24994293664,45
Iowa,2020-03-23,20.521291540388717,27.700263374015023,15.343513393877384,6980.280814480362,0.5629467536805282,0.23620802644764133,0.40610335021257404,0.12630414468804146,1.855109635934894,0.23090221904843072,555.5818577832482,2284.6414215679897,197.69853870177872,30.51009141565671,110.16601837407498,8.255065592175708,271.6620629691447,1000.6158551685478,117.75473949275944,TRUE,1.1714753200023482,0.863239730070909,1.55947816553733,2.203732891332826,1.8009167531829247,2.662573940370241,1848.120849650678,22010.3170103791,46
Iowa,2020-03-24,24.795675549266264,32.91594831592224,18.470933251316616,7564.942605406798,0.6815932573686998,0.28894095212462334,0.4894426151803811,0.15725687569185326,2.16287797464827,0.28565105511304023,568.359217591388,2466.483248492424,205.6400406607109,35.38301599737037,126.92923320913293,9.983977244537414,281.6569726357727,1022.643801012036,123.49290897145221,TRUE,1.1746614233795367,0.850670876105268,1.54941112970187,1.9703627993629447,1.627231012433826,2.358655207249517,1976.0787384325122,23972.15801328033,47
Iowa,2020-03-25,29.53849044308442,39.13604338411373,22.176584224157487,8165.532887536543,0.8169970625428329,0.35120340666027616,0.5789602784449396,0.1958092187041041,2.5879996424682066,0.3510892573932372,595.3775881783795,2570.337429316919,210.22216787238625,40.12552647948165,144.18288514072253,11.684080334177189,293.55901960711776,1036.9682258479447,126.94166917500175,TRUE,1.1821328866655136,0.86245540203366,1.54633199592086,2.1379449058501563,1.8093537481333057,2.5041056322449164,2227.958043354898,26284.574500348106,48
Iowa,2020-03-26,34.802541633244616,45.41630614248018,25.958610611182003,8759.865279575628,0.9688999912567904,0.4260116325264329,0.6824570196135817,0.2447005038637436,3.022505960387414,0.43470867188886203,632.4600458319514,2756.5840057886862,218.87699772360298,44.825165387252895,156.21024956026767,13.381935872582627,299.5441273323883,1077.5587105786963,131.55799961859148,TRUE,1.1949849394071759,0.889697354619934,1.58575007266008,2.391825959918268,2.070636753024116,2.744632518476649,2251.0601176655355,27976.426033139054,49
Iowa,2020-03-27,40.4722510587367,52.6281963099962,30.340343546497827,9469.536447602735,1.1373291709657476,0.5125879117499925,0.806250337860728,0.3029079548420786,3.4710157554745305,0.5281989215119492,670.7888789329962,3012.685893422099,230.51985306993373,50.008324280276476,170.72511636962807,15.272012419441282,310.51346191042177,1159.1287097841985,136.24263854430853,TRUE,1.218318471359754,0.906061536886204,1.62373224927044,2.156244108049271,1.8793167034395888,2.4591290260447414,2411.3478692389717,30481.052610452214,50
Iowa,2020-03-28,46.590217897108886,60.437966549963015,35.589482104439,10187.314332147682,1.3285836155757131,0.6131667729107352,0.9454976829611192,0.372592078204374,3.9467524429229743,0.6371322882618091,725.0124854660662,3301.8739071374775,248.77219780835685,54.86599760398698,182.80339942852407,17.119877585458642,320.3249354324299,1206.4047442206513,140.65893932226606,TRUE,1.2527948368526132,0.936836226732073,1.68242854293968,2.3053994600844576,2.0456832606068587,2.5862215523945693,2608.415287017023,32650.176649967645,51
Iowa,2020-03-29,52.99941857462429,69.07478677901682,41.20477864812062,10981.900134101885,1.5363163963571296,0.7260417321223596,1.094008684484137,0.45465304553892305,4.495503868311385,0.7519871590319994,772.7814244009795,3592.7966279707516,266.4127611268174,59.89123344311303,198.2776540139017,18.569139375803335,330.46373489240545,1256.6598540037685,143.53932558401186,TRUE,1.2950206450378836,0.960137318031493,1.75486773350709,2.158627496787669,1.930235876578505,2.4043632415879768,2861.9182291851066,35566.796576858775,52
Iowa,2020-03-30,59.53759755327165,77.81867885002347,46.722257120214266,11781.576593309357,1.7381234560025143,0.8528224648006186,1.2628858699058412,0.548616168220444,5.104438907022772,0.8881172227965846,835.9100467144028,3737.818631965046,299.4828748158074,65.30300739057719,214.20523629228484,20.404840132598864,350.42921916419255,1310.8191443435242,148.00052804542656,TRUE,1.3273271789516257,0.969736728836239,1.8251181442818,1.744175240256579,1.5585091898323196,1.9440334835213258,3172.0679930130887,38655.400079611,53
Iowa,2020-03-31,66.23166335003734,87.30010805726914,52.409797259947226,12748.659797867078,1.9604725891667452,0.9913983172070331,1.4406302299618394,0.6497806381975131,5.718732315808114,1.0374998957471244,914.0977435437192,3996.2363578982195,333.2243613205477,69.75026466782293,226.6575631049693,22.070298484374746,366.5618154501468,1377.643718370774,153.11075536861318,TRUE,1.377196841973503,0.998034060401468,1.85227038102858,1.4807286138545224,1.3235860607332113,1.6498436393544411,3525.4312362056917,41601.23975095531,54
Iowa,2020-04-01,72.81646766126825,95.90970249674493,58.19135181661515,13729.268892372183,2.1935102433699027,1.140393785864521,1.6333561493285664,0.7696570298709329,6.450698509713318,1.1914116601010494,1012.6796823405351,4291.59145112582,355.30219854373956,74.37371606004797,242.05681335602682,23.670138761178826,388.8106789963245,1448.311944945861,165.07767487408012,TRUE,1.4225838916500355,1.01860777534335,1.88556364576894,1.5060156906708801,1.3564999249394085,1.6661349483748842,3849.230497517921,45481.01185497653,55
Iowa,2020-04-02,79.17133644564925,104.54048379231708,63.16326306685552,14800.855042485317,2.4274438362450343,1.2950153896670917,1.8341834397828463,0.9005599738351293,7.079345478798177,1.3494903567375771,1102.2015768791675,4584.747523780495,393.59087836452255,78.45667317376001,256.7743357015313,25.128016495306106,418.80535152100913,1566.5391730671276,180.60151096190748,TRUE,1.4562074378596266,1.02868316498954,1.90096453904821,1.365963495122025,1.230171686345278,1.5113992358501203,4125.778198411923,48252.28003208457,56
Iowa,2020-04-03,85.65345471399522,114.40535474102933,68.58214841780173,16089.807859320415,2.6528461483715216,1.4666900612765463,2.0599217583340486,1.0526914505584575,7.825419729675845,1.5231395628502435,1207.0700064653174,5009.64829662545,439.1541158711466,82.79542585819732,269.619514888912,26.14176521347695,452.222851813454,1689.102516530538,195.74946475712278,TRUE,1.476689238569596,1.02910085500832,1.9195078431412,1.283133310825279,1.1570758193481654,1.4180306105624643,4676.779624021618,52671.70627062627,57
Iowa,2020-04-04,91.84283958540163,123.09788165274787,73.72117148153252,17410.702902580644,2.8928468078209084,1.6476926790674535,2.2768115867579954,1.198046176917389,8.509873638844216,1.699606872292668,1331.3062691463556,5506.667778354404,489.11503207838996,87.41269326539806,283.80771314603965,27.78223786202237,494.89201716407956,1843.5580713604559,210.22758428441358,TRUE,1.490009054093469,1.03388958480106,1.92477500992917,1.282254645156675,1.1603310162885567,1.4124345655883057,4989.221574970402,57140.69724401564,58
Iowa,2020-04-05,97.82253979071582,131.34013660028953,78.54174493159809,18924.642157633825,3.135846602048297,1.8290595406847916,2.4989194710843785,1.3472662980714685,9.073298282722174,1.8786669755600793,1459.189611509033,5837.161996923003,542.022289761497,92.88219418810473,304.37668784427393,29.155198359986038,535.4109598894202,1997.4082683162314,234.31539250872362,TRUE,1.4878018493638963,1.023906760484,1.91597214083151,1.3234334778288648,1.2028941808488343,1.4517689591187943,5514.303720148716,62651.60390919313,59
Iowa,2020-04-06,103.76780319209382,140.10734462393896,82.8237887393088,20630.397674187923,3.385632120716004,2.0199092282789133,2.7302666265596662,1.5128859747741472,9.6047438637677,2.0477528367476876,1575.8391165220223,6203.611380204299,588.6740500300671,98.25714839273748,326.1352526531317,30.353598693264953,589.6440925764832,2176.990399845903,253.19289562693558,TRUE,1.4697518701872019,1.01180345549284,1.91215930527599,1.2834632941143662,1.1680956448399007,1.4061885755466361,6122.922572473957,67741.06135105826,60
Iowa,2020-04-07,110.14131666368773,148.33159128109722,88.30207913488073,22418.292355201615,3.6141349867180717,2.213430192491481,2.976475119574277,1.6833258832687632,10.15170067897364,2.2536458948757727,1709.0310084880816,6719.509254262466,612.6061935329815,103.95029155988419,340.6708226266708,31.96891681814563,651.4698715340365,2393.2450347805716,281.47711866419195,TRUE,1.4390989676975159,1.00683829033848,1.89977877871176,1.311575093600817,1.1982538807576602,1.4318256709913053,5878.297987985019,72449.07487981554,61
Iowa,2020-04-08,116.18476537508738,157.80876748544426,93.48577286584685,24530.401890862362,3.858244866002116,2.412565960536522,3.2269049494951894,1.8435911378222753,10.767314013920014,2.432498768062138,1825.5260122928378,7073.892992420284,673.1110080910905,109.13435103490094,355.81310864927286,33.78623417066859,718.9985182235026,2595.6097876803638,314.1542748961039,TRUE,1.392957823076955,0.984475578547474,1.84549690564232,1.3300208162986746,1.2190317928616023,1.4475508724410877,7284.014828251601,77888.3326135211,62
Iowa,2020-04-09,122.37030698513796,167.72491848560668,98.52726571477919,26520.914057409867,4.117066814501624,2.6105641845625143,3.4630249933137804,2.019729386890955,11.517525086777209,2.6171994485886936,1925.8779639102452,7096.563756205094,705.6773516128683,116.39309988000718,374.59520571668725,35.466765698104716,780.804332853726,2800.578198473703,347.57000712236135,TRUE,1.3414130982712609,0.966755270291752,1.77465268671837,1.3568640493186324,1.2480099593822989,1.4718712723160698,7844.456927327928,82645.4025186801,63
Iowa,2020-04-10,128.6515922385015,177.2882137853129,102.99179599241927,28564.40015620133,4.352588332914214,2.812282245589281,3.7072401069769607,2.1795634710010248,12.242526994218657,2.7974842874651387,1988.372138522745,7439.09935666493,745.1442697476834,123.11630717021167,393.7481512250812,38.04121885192956,845.6419333338827,3053.1589932466604,381.51716819490133,TRUE,1.2867456058616837,0.928592813703435,1.7271467561033,1.2152473399226182,1.1155856709695113,1.3206751963685737,8446.35548902446,87531.88157424814,64
Iowa,2020-04-11,135.70872206488036,187.07048617607558,108.7883706759431,30571.75074458511,4.6314044077996535,3.02640968885851,3.987264569387917,2.3433470567999826,12.968551286181622,3.0030579632332532,2037.3954856343357,7689.622628706284,774.6385700605748,131.88038283743492,419.20081731215976,40.128162309383285,897.3173629573253,3309.18510058031,416.5165076854497,TRUE,1.2388550157582032,0.870948724304985,1.66147296898648,1.1988577350608018,1.1027623373904292,1.300380125935465,9047.731699371561,93877.90717359968,65
Iowa,2020-04-12,143.97061365201242,199.38223725001083,114.20509229852459,32731.14667802171,4.933008104630147,3.2326312541293056,4.259081235044006,2.513607350144426,13.793671235824434,3.1675004843413896,2028.4987401512158,8191.476695698672,793.9899550099606,142.46795776005672,445.3446816763977,43.3331200559562,968.7559458247044,3504.8368984833987,447.082975006849,TRUE,1.1887188664822557,0.837258227632025,1.59458219374139,1.276041890193987,1.17895562270706,1.3783174938362646,9542.828077551047,98703.2606761506,66
Iowa,2020-04-13,153.56484755948483,211.4612609894163,123.25907389243406,34753.49162153472,5.265457458423105,3.44807674501647,4.5719346822470115,2.7003243503088044,14.787510484200396,3.336961216712627,2023.775791142307,8239.076759449757,756.8659299419871,153.3976107772804,481.85213580880725,46.85022439108381,1023.184472364022,3700.3738280182542,473.5261057358537,TRUE,1.1283408109719493,0.795680884231767,1.54905070078213,1.1774983963217747,1.086345677622659,1.273613046596201,10079.179267075839,105808.26788920007,67
Iowa,2020-04-14,163.8463923277284,228.18594730443687,133.91215243329492,36936.37609170023,5.619141945014958,3.674958527728868,4.862384619819876,2.872921125032404,15.900117278642005,3.535452939631238,2013.31037265452,7992.206886248883,726.0940956471443,166.16806137035502,512.5591081984086,50.577219995542556,1072.060471082607,3712.772751292291,501.14690375465057,TRUE,1.0799374499676015,0.769367662518497,1.46654658324423,1.16712981490057,1.0784669793861166,1.2605240423986726,11486.460762752771,114098.27283564625,68
Iowa,2020-04-15,176.01424082475077,238.35129945118774,143.79058226452048,39134.779399478764,6.010527215774205,3.919092255713388,5.145150481721908,3.072641082168505,17.13915994414523,3.7660386070629404,1979.7263064299136,7912.085638799098,727.3463251560815,179.21365677178775,550.8247293741651,54.64818244095945,1100.553697248084,3674.9287857479217,517.1415695666115,TRUE,1.0307364108273225,0.744919056370406,1.41165753428351,1.3275300376086905,1.2345154031507664,1.4251036193674032,10400.952666036615,118288.87488051012,69
Iowa,2020-04-16,190.10097425054906,248.22708785892286,156.0699386074038,41026.046040376925,6.48183443045765,4.1970962843737345,5.471474149298453,3.289882332789367,18.09114147786686,4.022756458515198,1925.0577577261429,7666.743361608906,705.5871308144156,194.0630505324334,598.4209845480295,59.65015721423884,1117.7830928511144,3873.5302504273714,524.8159035736832,TRUE,0.9858970915066456,0.702723041182191,1.36694445429358,1.3705480989509797,1.277966815149468,1.467496412569796,11050.914467555363,123148.38117525358,70
Iowa,2020-04-17,205.13983363906556,259.9933820659643,170.1028098572494,42756.34325547659,6.9391348819007135,4.474256143811367,5.836945710724853,3.5129251179147674,19.214271836883253,4.277107005914306,1855.937412079195,7583.30000279717,661.6607504710139,207.85036652956916,648.3907923107661,65.22793040991293,1127.240597550754,3949.795428542891,525.3315340146653,TRUE,0.9520375509953983,0.684530677591836,1.33392640872633,1.6072747633458824,1.5098814190905907,1.7087689761647158,12420.40377569336,129399.2795333961,71
Iowa,2020-04-18,222.26607634216575,276.2656905495142,182.74515682113844,44666.48298519687,7.509963424210454,4.7766259885664635,6.186147772392635,3.7593110253378903,20.80831833196889,4.575092954326021,1814.10103769398,7353.221814571474,634.088537840893,224.80211137263728,680.8026906876902,70.563657364622145,1131.6105232687878,3895.604902727444,519.0963389966232,TRUE,0.9253651200669767,0.669494866393666,1.2959623574811,1.7176430380039185,1.6208785352493296,1.8181842243307806,12263.350357228162,133082.1980202033,72
Iowa,2020-04-19,241.03979479390551,294.80683342937084,195.25103208827244,46629.890269734096,8.081890453321623,5.115353094649109,6.544205911292805,4.048577892228706,22.0216798916738,4.938016266727068,1755.690021875797,7183.571904127801,633.0312925204618,241.39700995641462,711.2593874279883,77.3461754009226,1129.8537738071389,3874.0024646512993,505.42647152658196,TRUE,0.9070155633573175,0.651528696440139,1.26239378276793,1.9767849134976687,1.878451265681954,2.0784919023141226,12617.663088266661,136462.75898231877,73
